course_id|course_name
course-1|Gestión de Proyectos alineado al Estándar PMBOK y potenciado con IA GEN - Medellín
course-2|Modelos financieros en la era del machine learning
course-3|Revisoría fiscal y auditoría financiera
course-4|Analítica de datos y automatización de procesos en Power BI y automate
course-5|Docencia universitaria
course-6|Inteligencia Artificial Generativa para la productividad laboral - Suroccidente
course-7|IA en Salud - Suroccidente
course-8|Transformaciones del orden de género, individuo e individualidad
course-9|Mapear, analizar y comprender: sistematización de información con NVivo
course-10|Alta Gerencia de Negocios Gastronómicos - Medellín
course-11|Proyectos que cuentan: formulación de propuestas artísticas y culturales
course-12|Indicadores Sociales: métodos, evidencia y contexto
course-13|Inteligencia artificial para odontólogos - Eje Cafetero
course-14|Diseñar con IA: arquitectura e interiorismo del futuro
course-15|Vitalmente Plenos lo mejor comienza despues de los 50 - Manizales
course-16|Entre memoria y esperanza:caminos bíblicos para la reconciliación
course-17|Derecho penal canónico
course-18|Gestión Jurídica Y Actualización Sobre Estabilidad Laboral Reforzada
course-19|Actualidad en pensiones: reforma y jurisprudencia relevante
course-20|Sistema de gestión de Activos. NTC ISO 55001:2024
course-21|Microsoft Power BI con Inteligencia Artificial
course-22|Aplicaciones de la Biologia Molecular
course-23|Coaching Vocacional: Cómo Acompañar a Jóvenes en sus Búsquedas Profesionales y de Vida
course-24|Club Sapiencia
course-25|Preparación al Examen de Ingreso a la Carrera Diplomática y Consular Colombiana
course-26|Certificación en Coaching Sistémico de Equipos
course-27|Metodología GRADE para la toma de decisiones en salud
course-28|Actualización Tributaria
course-29|Finanzas Verdes
course-30|Lectura crítica
course-31|Gestión de Riesgos: Sarlaft - Sagrilaft - Cúcuta
course-32|Gobierno Corporativo en acción, estrategia y Buenas Prácticas para Juntas Directivas
course-33|Storytelling y presentaciones basadas en generación de datos estadisticos - Bucaramanga
course-34|Taller de escritura Narrativas autorreflexivas: La vida detrás de las palabras
course-35|Microsoft Project Aplicado a Gestión de Obras de Construcción
course-36|Presentaciones Efectivas con Inteligencia Artificial
course-37|Inteligencia artificial aplicada a la logística y operaciones
course-38|Innovación sostenible y gestión del conocimiento para pymes: economía circular y  herramientas colaborativas
course-39|Actualización de NIIF Pyme Grupo 2
course-40|Entrenamiento Deportivo: Métodos y Tendencias
course-41|Neuroliderazgo, Neuromanagement y Culturas Brain Friendly
course-42|Manejo del Conocimiento, Archivos Digitales e Inteligencia Artificial para la Construcción de Paz
course-43|Hiperrealismo en Tiempo Real: visualización de proyectos con Epic Games
course-44|Organización y producción integral de eventos - Medellín
course-45|Soporte Vital Cardiovascular Básico y Avanzado (BLS/ ACLS) Heartcode
course-46|Gestión de proyectos bibliotecarios públicos
course-47|Coro Jóvenes y Adultos
course-48|Huella de carbono en el sector constructor
course-49|Derecho colectivo y negociación colectiva
course-50|FACADE - CODE: Curso práctico de diseño generativo en envolventes arquitectónicas
course-51|El arte de lo oculto: magia y esoterismo plantas curativas a través del tiempo
course-52|Historia del fútbol: Curso para entender una práctica deportiva global
course-53|Gobierno corporativo y juntas directivas
course-54|Organización y Conservación de Archivos Digitales
course-55|Gestión de Eventos, Protocolo y Relaciones Públicas - Bucaramanga
course-56|Scrum Product Owner preparación para la certificación profesional internacional de CertiProf®
course-57|Coaching y Liderazgo Oriente
course-58|Curso práctico de tratamiento anticoagulante
course-59|Erotismo, sexualidad y espiritualidad. El placer sagrado como fuente de crecimiento
course-60|Repostería y panadería saludable - Oriente
course-61|Compliance
course-62|Redacción de Artículos Académicos y Científicos
course-63|Derecho Deportivo
course-64|Derecho Inmobiliario
course-65|BPM para la Transformación Digital de Procesos
course-66|¿Cómo Prepararse para el Proceso de Certificación como Traductor e Intérprete Oficial del inglés?
course-67|Finanzas para no Financieros
course-68|Material Rodante, Construcción y Mantenimiento Ferroviario
course-69|movimiento consciente y creativo
course-70|Misión España: Modelo de Gestión Gastronómica
course-71|Gerencia de proyectos sociales
course-72|Contratación Estatal Régimen general Actualizado con la normativa, jurisprudencia y conceptos
course-73|Realidad Virtual 3D Ambientes especiales y Telesalud en Odontología
course-74|Cómo vender en Redes Sociales Oriente
course-75|DERECHO DEPORTIVO: Régimen del Deportista y las instituciones deportivas
course-76|Meditación y Mindfulness: Curso práctico para restablecer la armonía interior
course-77|Propiedad Horizontal
course-78|Contabilidad de Coberturas
course-79|Arquitectura Interior
course-80|NIIF - Normas Internacionales de Información Financiera
course-81|Habilidades de Liderazgo y Dirección
course-82|Construcción sostenible: eficiencia energética en edificaciones y BIM
course-83|Practica Orquestal Nivel Juvenil
course-84|Laboratorio de experimentación artística: prácticas performativas, improvisación y composición para la creación
course-85|Derecho Animal
course-86|Gestión de PQRs, una forma de retener clientes
course-87|Derecho Disciplinario Reforma Ley 1952 y Ley 2094
course-88|Inteligencia artificial: implicaciones estratégicas para la alta gerencia
course-89|Administración del Riesgo y Auditoría Forense
course-90|Aplicación, Interpretación y Diseño de Pruebas Psicológicas
course-91|SECOP II
course-92|Habilidades Comerciales La Venta Aplicada - Bucaramanga
course-93|Régimen de Propiedad Horizontal:  Fundamentos, Gestión y Resolución de Conflictos bajo la Ley 675 de 2001
course-94|Diseño de planes Integrales de ejercicio: Salud y Bienestar
course-95|Gobierno y análisis de datos para la toma de decisiones
course-96|Metodologías ágiles para incrementar la productividad
course-97|Derecho del Mundo Rural y Conflictos Territoriales Procesos Agrarios Ordinarios, Restitución de Tierras y Jurisdicción Agraria
course-98|Estrategia y entrega BIM: Transformación digital en construcción
course-99|Neuroergonomía: habilidades cognitivas para fortalecer la productividad en las organizaciones
course-100|Accesos Vasculares Seguros Guiados por Ultrasonografia
course-101|Indicadores de Gestión en Comunicación y Datos para Estrategias de Comunicación
course-102|Precios de transferencia
course-103|Redacción y ortografía - Virtual
course-104|Gestión de la Calidad del Laboratorio con Énfasis en Bancos de Sangre
course-105|Gestión de la calidad del laboratorio con énfasis en laboratorios clínicos
course-106|¿Qué debemos saber de la Reforma Laboral 2025? - Barranquilla
course-107|Derecho Urbano e Inmobiliario Medellin
course-108|Python: Herramientas básicas de programación - Eje cafetero
course-109|Inteligencia Artificial y Analítica de datos para financieros y no financieros
course-110|Analítica de Datos
course-111|Radioprotección y Radiología en Seguridad Odontológica: Resolución 482
course-112|Gestión del marketing estratégico
course-113|Avalúos: Innovación y estrategia en valoraciones inmobiliarias urbanas y rurales
course-114|Estrategia Digital con IA y Redes Sociales - Manizales
course-115|Estructuración Financiera de Proyectos Inmobiliarios: Guía para Arquitectos
course-116|Nutrición y salud mental
course-117|El arte de comunicar inspirado en técnicas teatrales
course-118|Gestión de proyectos y obras de construcción
course-119|Educación Inclusiva: para la Atención Educativa a Población con Discapacidad
course-120|Innovación Frugal: Cómo Crear Valor con Menos Recursos y más Impacto.
course-121|Supervisión técnica de obras en edificaciones - Eje Cafetero
course-122|Gestión Inmobiliaria
course-123|Formación programa de reactivovigilancia para prestadores de salud
course-124|Marketing Político y Comunicación
course-125|Derecho tributario probatorio - Medellín
course-126|Impacto de la Inteligencia Artificial en la Auditoria Interna - Barranquilla
course-127|Humanizacion de la Atención Médica - Barranquilla
course-128|Inglés Básico
course-129|Comercio exterior, Derecho Aduanero y emprendimiento exportador - Barranquilla
course-130|Formación profesional de wedding planner - Barranquilla
course-131|Marketing  Politico y Comunicación - Barranquilla
course-132|Machine Learning para Riesgos financieros
course-133|Legislación Electoral
course-134|Comunicación interna y su función estratégica
course-135|NIIF de sostenibilidad y Clima S1 y S2
course-136|Formando formadores en cristianismo al día
course-137|Introducción a los Métodos Estadísticos Aplicados a Análisis de Datos de Investigación en Salud
course-138|Método Madre Canguro
course-139|Gestión del Talento Humano 4.0
course-140|Control de costos, gestión financiera y revenue management para rentabilizar negocios gastronómicos
course-141|Mindfulness con Énfasis en Educación
course-142|Coaching y liderazgo
course-143|Derecho Societario
course-144|Actualización: jurisprudencial en materia laboral
course-145|Normatividad y Herramientas para la Protección del Consumidor Financiero
course-146|Inversiones y Mercado de Capitales
course-147|Podcasting: Creación de Narrativas Sonoras 2.0
course-148|Decisiones y Acciones Educativas para la Implementación del Pacto Educativo Global
course-149|Cómo Escribir y Publicar en Ciencias de la Salud
course-150|Archivos audiovisuales: creación y remediaciones
course-151|Inteligencia Artificial para Abogados: Herramientas, Ética y Transformación Profesional
course-152|Marketing Político y Manejo de Imagen
course-153|Medios de Comunicación y Persuasión Política
course-154|Inteligencia artificial generativa para la productividad laboral
course-155|Reforma Laboral 2025 Sur Occidente
course-156|Formación profesional de wedding planner - Medellín
course-157|Construcción Sostenible Eficiencia Energética en Edificaciones y BIM - SurOccidente
course-158|Estrategia Digital con IA y Redes Sociales - Pasto
course-159|Relaciones internacionales para no diplomáticos
course-160|Finanzas sostenibles para la gestión inmobiliaria
course-161|Project Finance: Estructurando proyectos que transforman territorios
course-162|Análisis de datos para el monitoreo y mejora de procesos
course-163|Inmersión por los edificios sostenibles más icónicos en Bogotá, Colombia
course-164|Soporte Vital Básico
course-165|Acompañamiento espiritual en procesos de duelo por pérdida de seres queridos
course-166|Dominando Microsoft 365: Potencia tu trabajo en la nube
course-167|Power BI y Python Herramientas esenciales para analistas
course-168|IA para líderes empresariales
course-169|Liderazgo en Marketing Estratégico y Moderno: conoce nuevas herramientas para acelerar los resultados - Medellín
course-170|Music Masters: negocios de la música y el entretenimiento - Medellín
course-171|Scrum Máster:  preparación para la certificación profesional internacional de CertiProf®
course-172|Mindful Eating
course-173|Botánica Ilustrada: de sus Propiedades al Sketchbook
course-174|Descubriendo el mundo a través del collage, una exploración artística para niños y adolescentes
course-175|Seguridad social en pensiones
course-176|Seguridad Social en Salud
course-177|Club Sapiencia: Amores con historia un recorrido cultural por el amor romántico en Occidente
course-178|Mindfulness para Reducción del Estrés
course-179|Explorando el Cerebro, Neurociencia Clínica y Cognitiva
course-180|Musicalidad y piano para adultos
course-181|Fauna ilustrada
course-182|Metodología integral para la organización y producción de eventos
course-183|Extinción de Dominio
course-184|Propiedad Horizontal - Barranquilla
course-185|Inteligencia artificial generativa para la productividad laboral-Eje Cafetero
course-186|Protección de Datos Personales: Habeas Data
course-187|Estructuración y Financiación de Proyectos de Impacto ESG (Ambiental, Social y de Gobernanza)
course-188|Comunicaciones Estratégicas
course-189|Excel Avanzado
course-190|Introducción a la Traducción Oficial
course-191|Didáctica de la lectura y la escritura: imaginarios y prácticas
course-192|Practica Orquestal Nivel Infantil
course-193|Control y Auditoría Interna
course-194|Urgencias en edad escolar
course-195|Presentación y ejecución de proyectos del sistema general de regalías
course-196|Gestión de proyectos con enfoque en desarrollo territorial
course-197|Urgencias Medicas - Barranquilla
course-198|Club Sapiencia: Una puerta de entrada a la microhistoria
course-199|Dirección de arte para teatro
course-200|Informática Forense: procedimiento técnico de recolección y tratamiento de evidencias digitales
course-201|Analítica de datos - Eje Cafetero
course-202|¿Qué debemos saber de la Reforma Laboral 2025?
course-203|Inteligencia artificial con enfoque en ciencia e investigación
course-204|Tu historia vende: Crea una marca personal memorable
course-205|Creación y gestión de negocios digitales
course-206|Animación experimental
course-207|Discernimiento y Acompañamiento Vocacional: perspectivas bíblica, teológica, pedagógica y tecnológica
course-208|Gestión de Restaurantes: mejorando la experiencia a través del menú y la atención
course-209|Migraciones socioambientales y climáticas: realidades y perspectivas regionales y globales
course-210|People´s Analytics: Analítica de datos en gestión humana- Barranquilla
